,run,last_objective,usage_number,generation
0,0,0.01394125049613315,0,2
1,1,0.012192642939309106,0,2
2,2,0.010450701470941404,0,2
3,3,0.011431376389994696,0,2
4,4,0.012024683260800195,0,2
5,5,0.012027576332748868,0,2
6,6,0.01216885978512261,0,2
7,7,0.013250144638382366,0,2
8,8,0.008955192429545011,0,2
9,9,0.01151338373540911,0,2
10,10,0.0139154954688272,0,2
11,11,0.010235321559223909,0,2
12,12,0.014395382076613394,0,2
13,13,0.012448035932856705,0,2
14,14,0.014500981908348365,0,2
15,15,0.012147496243863465,0,2
