,generation,test_roc
0,1,
1,2,
2,3,
3,4,0.7004871153444319
4,5,0.5026579120029324
5,6,0.5063706235889842
6,7,0.5350350764998792
7,8,0.5050202408909981
8,9,0.4999074049642666
9,10,0.4987516808058555
10,11,0.5239778935471064
11,12,0.4993132292798403
12,13,0.5087814701621219
13,14,0.5424836729918006
14,15,0.5050487290480289
15,16,0.6078921366495048
16,17,0.6624816950146979
17,18,0.48300328828495626
18,19,0.5313979183534575
19,20,0.5223491728602254
20,21,0.5699225475382937
21,22,0.6165599516994127
22,23,0.5802974387748436
23,24,0.5850457460836953
24,25,0.6302953935659039
25,26,0.6656756736344891
26,27,0.5028964261969897
27,28,0.5010625051112402
28,29,0.5110152305828926
29,30,0.4978945153204752
30,31,0.5007037612549876
31,32,0.5033474683254338
32,33,0.4993526330713548
33,34,0.4999091197677683
34,35,0.5020085150451643
35,36,0.4976258708973554
36,37,0.5009173187748905
37,38,0.4988759845428987
38,39,0.503178987275293
39,40,0.5025196493008789
40,41,0.49948334098260067
41,42,0.4989237401906902
42,43,0.502396759624554
43,44,0.49895112248441875
44,45,0.49889716524021305
45,46,0.4987184375468569
46,47,0.5019730809065959
47,48,0.5024702065064002
48,49,0.5008235587038663
49,50,0.498602670469102
50,51,0.5017542908941621
51,52,0.49930645511555427
52,53,0.5025690281557923
53,54,0.50246488361692
54,55,0.50027958562447
55,56,0.5089061477550529
56,57,0.5006787198198308
57,58,0.5192137338212888
58,59,0.5532336947170404
59,60,0.5860628247147573
60,61,0.581349128500352
61,62,0.5062767431590081
62,63,0.6300800160047224
63,64,0.5322037641626096
64,65,0.5872977953360067
65,66,0.6970205618510121
66,67,0.574660268276293
67,68,0.7707557189542483
68,69,0.6669541103405433
69,70,0.6920464256683275
70,71,0.5048768137477306
71,72,0.621419026511772
72,73,0.506851589455367
73,74,0.5006838137450942
74,75,0.5988078172503863
75,76,0.6261290787892709
76,77,0.5846476468823081
77,78,0.5314697062910588
78,79,0.5798067505165699
79,80,0.6240425029961503
80,81,0.606866736669681
81,82,0.643234125116566
82,83,0.6028576413326647
83,84,0.6532760112857158
84,85,0.7190610966138977
85,86,0.7171900222184515
86,87,0.6978526010936172
87,88,0.7430826412259953
88,89,0.673595129054704
89,90,0.7084203911476893
90,91,0.734449315205508
91,92,0.7499103531295693
92,93,0.905531939417954
93,94,0.7688486588324418
94,95,0.7505267439794034
95,96,0.6363172846650701
96,97,0.6538473343359626
97,98,0.7663973595642768
98,99,0.7440496925087081
99,100,0.7098161808963384
100,101,0.7339999165180887
101,102,0.7603499233363197
102,103,0.7667424737024389
103,104,0.7581724486158964
104,105,0.761155494286593
105,106,0.7723307850587129
106,107,0.7598752242670204
107,108,0.7776471807830387
108,109,0.7710780924555756
109,110,0.7730460400982981
110,111,0.7832920318064631
111,112,0.7341553617035391
112,113,0.4646516132930148
113,114,0.5646154216122939
114,115,0.5259495283890059
115,116,0.5360837628243421
116,117,0.5419786664785334
117,118,0.5473509646956445
118,119,0.5318110943166791
119,120,0.5321420229484506
120,121,0.5658964064966271
121,122,0.5538332378460837
122,123,0.5693170985033272
123,124,0.6048704149197617
124,125,0.6085955125629693
125,126,0.5954252823120764
126,127,0.6850274545582616
127,128,0.6913319414160372
128,129,0.6823326985522109
129,130,0.5534250003245998
130,131,0.6924331694817429
131,132,0.5461973366177474
132,133,0.6156736513643215
133,134,0.6045804061007387
134,135,0.5854040964032413
135,136,0.6920410115710367
136,137,0.7248187013589011
137,138,0.7602949596792765
138,139,0.7595344845227932
139,140,0.6832391365904777
140,141,0.7630358269322992
141,142,0.7729102807849872
142,143,0.7801145465502701
143,144,0.6432263898660033
144,145,0.7628634443354999
145,146,0.9333674190564776
146,147,0.7837154936403057
147,148,0.7656360478081148
148,149,0.7528160789605252
149,150,0.7559524287236717
150,151,0.7814892869432749
151,152,0.7835580836680615
152,153,0.7519669958200287
153,154,0.7804993453641698
154,155,0.7739084421913708
155,156,0.7718887930017628
156,157,0.7789309874530458
157,158,0.7797881758285455
158,159,0.7516673820878484
159,160,0.7484016431942884
160,161,0.7600310552538788
161,162,0.775448429201479
162,163,0.7836307907729623
163,164,0.7647503707518921
164,165,0.726997957491141
165,166,0.7667861258873748
166,167,0.7657607036489142
167,168,0.7711099036409648
168,169,0.7755302006219396
169,170,0.7677561371463266
170,171,0.5578580090336649
171,172,0.7200326381045101
172,173,0.6481817063417035
173,174,0.7476182098044131
174,175,0.7397029534446737
175,176,0.7826382358362696
176,177,0.7790462645846636
177,178,0.6683837747330897
178,179,0.7833422132881537
179,180,0.783587737640301
180,181,0.7859927672228657
181,182,0.7851912851294619
182,183,0.7837894385486385
183,184,0.7768673475390382
184,185,0.7970380779091281
185,186,0.7526144800511694
186,187,0.7619278219729155
187,188,0.7854207461128755
188,189,0.9789217836752602
189,190,0.7671406830598563
190,191,0.7802998203634481
191,192,0.7792605895527546
192,193,0.7791241234001438
193,194,0.7789306169732036
194,195,0.7662617051168151
195,196,0.7244205028441925
196,197,0.8472607103834859
197,198,0.7719843005795877
198,199,0.7800205334831374
